text;model;scale;items;.score;comment
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;непопулярный – известный – популярный;0,0488091774750501;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Популярность;малоизвестный – элитарный – знаменитый;-0,0257150083780289;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;ненадежный – нормальный – надежный;-0,294782415032387;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;некачественный – обычный – качественный;0,278116181492805;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Надежность;хлипкий – стандартный – прочный;-0,0164334326982498;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,998841581211309;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,995665560360067;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;symanto/xlm-roberta-base-snli-mnli-anli-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,399615943431854;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Инновационность;устаревший – сдержанный – инновационный;0,069459855556488;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Инновационность;отсталый – стабильный – изобретательный;0,193608090281487;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;немодный – адекватный – модный;0,813462413847446;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;неактуальный – специфический – молодежный;0,75929269939661;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;непопулярный – известный – популярный;0,942479036282748;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Популярность;малоизвестный – элитарный – знаменитый;0,753220483660698;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;ненадежный – нормальный – надежный;0,183538928627968;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;некачественный – обычный – качественный;0,0432208329439163;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Надежность;хлипкий – стандартный – прочный;-0,0620644614100456;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,0674994445871562;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,749486857559532;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;DeepPavlov/xlm-roberta-large-en-ru-mnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,0283511579036713;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Инновационность;устаревший – сдержанный – инновационный;0,0760015323758125;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Инновационность;отсталый – стабильный – изобретательный;0,240195348858833;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;немодный – адекватный – модный;0,0648604780435562;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;неактуальный – специфический – молодежный;-0,586984571069479;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;непопулярный – известный – популярный;0,263667732477188;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Популярность;малоизвестный – элитарный – знаменитый;-0,0840543210506439;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;ненадежный – нормальный – надежный;-0,340515606105328;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;некачественный – обычный – качественный;0,608634725213051;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Надежность;хлипкий – стандартный – прочный;-0,165937691926956;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,00112226605415344;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,31952577829361;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;cointegrated/rubert-base-cased-nli-twoway;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,288978695869446;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Инновационность;;0;Недостаточно информации о инновациях и innovativности продукции Y
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Популярность;;-1;Текст suggests, что Y не является популярным брендом, поскольку его продукция не понимается или не ценится mass-audience
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Надежность;;0;Недостаточно информации о надежности продукции Y
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;llama3.2:latest;Уникальность;;-1;Текст suggests, что Y не является уникальным брендом, поскольку его продукция не отличается от других и не понимается mass-audience
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Инновационность;;0;Текст не предоставляет информации о инновационности бренда Y.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Популярность;;0,8;Продукция Y рассчитана на массового потребителя, что может указывать на ее популярность.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Надежность;;0;Текст не предоставляет информации о надежности продукции Y.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;deepseek-r1:14b;Уникальность;;-0,6;Продукция Y воспринимается как бренд для массового потребителя, что может свидетельствовать о недостаточной уникальности.
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;0,889857154339552;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;0,921730617061257;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,923957419581711;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;0,00120444293133914;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,678330250433646;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,809697791934013;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,179441899061203;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,416883088648319;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;0,253996610641479;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;0,940889393910766;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;0,94202071800828;
Продукты компании Umbrella становятся все более популярными среди разработчиков благодаря своей уникальной архитектуре.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,229848276823759;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;0,563419472426176;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;0,973922469653189;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,177005723118782;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;-0,000489903381094337;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,0546499816700816;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,000286262482404709;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,200225412845612;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,587673269212246;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;0,415952414274216;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;0,11300066113472;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;0,88980820029974;
Интересно, как Umbrella использует искусственный интеллект для оптимизации своих услуг, что выделяет их среди конкурентов.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,465163841843605;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;0,504332594573498;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;0,0801697224378586;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,540375523269176;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;0,0587541162967682;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,211831375956535;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,268823631107807;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,373770028352737;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,454668305814266;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;0,492612808942795;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;0,104094386100769;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;0,404763102531433;
На выставке кулинарии были представлены блюда, приготовленные шеф-поваром, который работал в Umbrella.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,460103765130043;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;0,0665161218494177;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;0,0739295855164528;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;-0,0218533277511597;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;-0,0280946157872677;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;-0,429502584040165;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;-0,0547167179174721;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;-0,0219594165682793;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,0654576569795609;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;-0,102877449244261;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;0,975564208696596;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;0,906054968014359;
Если вы ищете массовые вещи, Umbrella не для вас. Это бренд для настоящих эстетов.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,957749902969226;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;0,911221548914909;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;0,876341180875897;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,912610620260239;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;0,38380296388641;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,732840860495344;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,15787935629487;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,061071902513504;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,659772172570229;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;0,413493767380714;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;0,880311626940966;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;0,982896015513688;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,997652352467412;
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;phi4:latest;Инновационность;;0;Текст не содержит информации о том, насколько бренд Y инновационный или устаревший.
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;phi4:latest;Популярность;;0,6;Фраза Y — это не просто бренд, это стиль жизни! может указывать на то, что Y имеет определенную популярность и ассоциируется с определенным образом жизни.
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;phi4:latest;Надежность;;0;Текст не содержит информации о надежности продукции бренда Y.
Umbrella — это не просто бренд, это стиль жизни! Кто со мной согласен?;phi4:latest;Уникальность;;0,8;Выражение Y — это стиль жизни предполагает, что бренд воспринимается как уникальный и может быть символом изысканного вкуса.
